"参数","BLB估计","BLB标准误","全数据估计","全数据时间_秒","相对偏差"
"截距",5.81112272187597,0.127303733468938,5.84099890648501,0.7725,-0.5115
"行程距离系数",3.67993716243297,0.033629458124065,3.67774666926007,0.7725,0.0596
"乘客数系数",0.0976451840328337,0.0525144654745096,0.082338869719435,0.7725,18.5894
