"rep_id","estimate","se","ci_lower","ci_upper","covers_true"
1,19.021165,0.174886210714131,18.6783880270003,19.3639419729997,FALSE
2,18.472056,0.171741695404117,18.1354422770079,18.8086697229921,TRUE
3,18.466725,0.168116719054233,18.1372162306537,18.7962337693463,TRUE
4,18.653401,0.16999792430423,18.3202050683637,18.9865969316363,TRUE
5,18.479126,0.165925382931252,18.1539122494547,18.8043397505453,TRUE
6,18.71852,0.172730390741608,18.3799684341464,19.0570715658536,TRUE
7,18.576903,0.16966634941812,18.2443569551405,18.9094490448595,TRUE
8,18.523825,0.173822139486186,18.1831336066071,18.8645163933929,TRUE
9,18.93566,0.173052312745986,18.5964774670179,19.2748425329821,FALSE
10,18.717847,0.172897721643965,18.3789674655778,19.0567265344222,TRUE
11,18.382106,0.164572905238348,18.0595431057328,18.7046688942672,TRUE
12,18.739865,0.172356603537711,18.4020460570661,19.0776839429339,TRUE
13,18.654346,0.169355310986589,18.3224095904663,18.9862824095337,TRUE
14,18.496119,0.173664086316865,18.1557373908189,18.8365006091811,TRUE
15,18.436771,0.165827738012147,18.1117486334962,18.7617933665038,TRUE
16,18.434612,0.167146099226977,18.1070056455151,18.7622183544849,TRUE
17,18.394295,0.165304875126148,18.0702974447528,18.7182925552472,TRUE
18,18.805145,0.16967672290838,18.4725786230996,19.1377113769004,TRUE
19,18.50614,0.169493089595954,18.1739335443919,18.8383464556081,TRUE
20,18.33847,0.164286109876946,18.0164692246412,18.6604707753588,TRUE
21,18.575831,0.167908410719603,18.2467305149896,18.9049314850104,TRUE
22,18.65454,0.168879465199937,18.3235362482081,18.9855437517919,TRUE
23,18.282184,0.164954170674332,17.9588738254783,18.6054941745217,TRUE
24,18.3097,0.163069946034608,17.9900829057722,18.6293170942278,TRUE
25,18.557902,0.165691913384014,18.2331458497673,18.8826581502327,TRUE
26,18.307695,0.169997658437065,17.9744995894634,18.6408904105366,TRUE
27,18.704005,0.176318338628321,18.3584210562885,19.0495889437115,TRUE
28,18.40988,0.167341785474748,18.0818901004695,18.7378698995305,TRUE
29,18.966783,0.177992078447582,18.6179185262427,19.3156474737573,FALSE
30,18.44714,0.169455995365984,18.1150062490827,18.7792737509173,TRUE
