"track","category","method","config_id","runs","mean_runtime_sec","sd_runtime_sec","mean_sample_access","mean_memory_mb","mean_abs_error_mean","mean_abs_error_coef","mean_ci_cover_mean","mean_ci_cover_coef","mean_ci_width_mean","mean_ci_width_coef","mean_mse","mean_r2","stability_mean_sd","stability_coef_sd","stability_mse_sd","time_eff","memory_eff","access_eff","acc_score","stability_score","cov_score","score_time_budget","score_memory_budget","score_access_budget"
"Empirical","Hybrid","Stratified-SGD->Aggregate","C",3,9.65477395057678,0.233410959818987,2400000,0.00079345703125,0,NA,1,NA,0.190780652337843,NA,NA,NA,0,NA,NA,0.834191897612357,1,0,NA,NA,NA,NA,NA,NA
"Simulation","Distributed","SAE","K5",3,0.0116422971089681,0.00366674312855803,6000,0.001373291015625,2.96059473233375e-16,0.00387461831611421,1,1,0.136927362966935,0.0992864380967601,1.52808981541862,0.615684640862824,3.14018491736755e-16,0.00152555552352422,2.34914277870972e-06,0.999830424105608,0.999841661058829,0.997624703087886,0.991316720745585,0.992641598977803,1,0.996884543108479,0.995417919532989,0.995891968650503
"Simulation","Distributed","One-step","K10",3,0.0135023593902588,0.00399025983259675,7200,0.00171661376953125,0,0.00389988146391625,1,1,0.100919991663608,0.0722098899227515,1.52807590546683,0.615688139222713,0,7.85046229341888e-17,0,0.999798474113995,0.999747907738399,0.997124640580073,0.99126010433867,1,1,0.996850349869832,0.996827595000814,0.995647124779567
"Simulation","Distributed","SAE","K20",3,0.034658670425415,0.00801631457183998,6000,0.00240325927734375,0,0.00460511514108763,1,1,0.111803349748243,0.0921287781971471,1.52814629485676,0.615670436255652,0,0.00466446442859748,2.07017821751269e-05,0.999435075550973,0.999560401097539,0.997624703087886,0.98967962841579,0.977501310643808,1,0.996133653943464,0.99169031256818,0.995318986335075
"Simulation","Hybrid","One-step->SGD","B",3,0.112002372741699,0.00692134859864295,91200,0.413009643554688,0,0.00399507144278514,1,1,0.100919991663608,0.0722109431482399,1.52812048173044,0.615676928269937,0,0.00217222429607802,2.90152497592081e-05,0.998106555175479,0.887433513270262,0.962120265033129,0.991046777218069,0.989522441344005,1,0.99601432185529,0.944115941266743,0.979820491291232
"Simulation","Hybrid","BLB->One-step","A",3,0.407817443211873,0.0268227290324664,113040,0.00203704833984375,0,0.00389988146391633,1,1,0.100919991663608,0.0722098899227515,1.52807590546683,0.615688139222713,0,7.85046229341888e-17,0,0.993025387132984,0.999660404639331,0.953019127390924,0.991260104338669,1,1,0.993802460728377,0.996788218606233,0.97579964384445
"Simulation","Mini-batch","SGD","bs64",3,0.285336971282959,0.00672566849197515,120000,0.413009643554688,0,0.00557266929060577,1,1,0.100919991663608,0.0722148081417196,1.52828406988192,0.615635785767348,0,0.0065931978459233,0.000156885302015826,0.995129214564108,0.887433513270262,0.950118764845606,0.987511274738283,0.96819821171968,1,0.993437092712248,0.938613669473953,0.973182390338922
"Simulation","Mini-batch","SGD","bs256",3,0.0889323552449544,0.00228204471573591,120000,0.413009643554688,0,0.0185738249367347,1,1,0.100919991663608,0.0722301515859562,1.52893356560137,0.615472437266389,0,0.00446002579912401,0.000132234179580492,0.9985028251676,0.887433513270262,0.950118764845606,0.958374813826861,0.978487404821894,1,0.984757456164821,0.930473746775398,0.962984629019924
"Simulation","Subsampling","BLB","g0.7_s6_B40",3,0.493582328160604,0.16953705080566,105840,0.00203704833984375,0.0234097998235393,0.0221032853781043,1,1,0.471290703091734,0.349055992505236,1.52807590546683,0.615688139222713,0.0230128130998967,0.0231649181933523,0,0.991552217453437,0.999660404639331,0.956019502437805,0.950465056495482,0.888265779196745,1,0.978861267627465,0.960163107700467,0.962871545870431
"Simulation","Subsampling","SRS","frac0.05",3,0.00185537338256836,0.000463558071674105,300,0.0247650146484375,0.0461385261534593,0.0275185047327581,1,1,0.453084223667106,0.338026210488723,1.58984905570942,0.600152160786777,0.05806564714232,0.0431157531754405,0.0197364242214356,0.999998532525487,0.993453934826858,1,0.938329187089086,0.792034444275058,1,0.978414555117649,0.933876375008278,0.97841521548118
"Simulation","Subsampling","Stratified","frac0.10",3,0.0017699400583903,0.000481882660827132,600,0.05084228515625,0.0742882202412423,0.0584875151461519,1,1,0.319032454533621,0.230427754780806,1.54376129364248,0.611743256186974,0.10628864705565,0.0567966064683621,0.0032668624272566,1,0.986332849288412,0.999874984373047,0.868925559755086,0.726045889087891,1,0.95412394591428,0.893182905911644,0.954067688882151
"Simulation","Hybrid","Stratified-SGD->Aggregate","C",3,0.0656544367472331,0.00205235360910856,120000,0.00130462646484375,0,0.446216020733016,1,1,0.100919991663608,4.05751885076642,2.36594790558109,0.404962908685998,0,0.0156963028220568,0.0405252801421602,0.998902666241884,0.999860411722915,0.950118764845606,0,0.924290077319688,1,0.649506199808848,0.634795200739249,0.627553444180523
