"track","category","method","config_id","rep","runtime_sec","sample_accesses","memory_mb","mean_estimate","mean_abs_error","mean_ci_cover","mean_ci_width","coef_estimate","coef_abs_error","coef_ci_cover","coef_ci_width","mse","r2"
"Simulation","Distributed","SAE","K5",1,0.0156879425048828,6000,0.001373291015625,2.5814111402964,4.44089209850063e-16,1,0.101355438688221,0.795312833778792,0.00468716622120802,1,0.0714317716783561,1.52808895763702,0.615684856595328
"Simulation","Distributed","SAE","K5",2,0.00853800773620605,6000,0.001373291015625,2.5814111402964,4.44089209850063e-16,1,0.18085677905286,0.795178088467135,0.00482191153286515,1,0.0818086034295884,1.52809247290311,0.615683972504135
"Simulation","Distributed","SAE","K5",3,0.0107009410858154,6000,0.001373291015625,2.5814111402964,0,1,0.128569871159725,0.797885222805731,0.00211477719426945,1,0.144618939182336,1.52808801571572,0.61568509348901
"Simulation","Distributed","SAE","K20",1,0.0398590564727783,6000,0.00240325927734375,2.5814111402964,0,1,0.126485921382227,0.794488523840493,0.00551147615950687,1,0.0742878890321872,1.52812561083578,0.615675638297358
"Simulation","Distributed","SAE","K20",2,0.0386900901794434,6000,0.00240325927734375,2.5814111402964,0,1,0.112351983164154,0.802322306059492,0.00232230605949224,1,0.105996915903025,1.52814625937996,0.615670445178084
"Simulation","Distributed","SAE","K20",3,0.0254268646240234,6000,0.00240325927734375,2.5814111402964,0,1,0.0965721446983476,0.794018436795736,0.0059815632042638,1,0.0961015296562295,1.52816701435453,0.615665225291513
"Simulation","Distributed","One-step","K10",1,0.0108380317687988,7200,0.00171661376953125,2.5814111402964,0,1,0.100919991663608,0.796100118536084,0.00389988146391629,1,0.0722098899227515,1.52807590546683,0.615688139222713
"Simulation","Distributed","One-step","K10",2,0.0115790367126465,7200,0.00171661376953125,2.5814111402964,0,1,0.100919991663608,0.796100118536084,0.00389988146391629,1,0.0722098899227515,1.52807590546683,0.615688139222713
"Simulation","Distributed","One-step","K10",3,0.0180900096893311,7200,0.00171661376953125,2.5814111402964,0,1,0.100919991663608,0.796100118536084,0.00389988146391618,1,0.0722098899227515,1.52807590546683,0.615688139222713
"Simulation","Subsampling","SRS","frac0.05",1,0.00154304504394531,300,0.0247650146484375,2.55805989289343,0.0233512474029753,1,0.431360790537475,0.795816028287048,0.00418397171295248,1,0.326713298068133,1.57427116859667,0.604070007250988
"Simulation","Subsampling","SRS","frac0.05",2,0.00238800048828125,300,0.0247650146484375,2.60199029666478,0.0205791563683806,1,0.467661699892191,0.787780385647814,0.0122196143521855,1,0.30984458439475,1.61204367578151,0.594570202646719
"Simulation","Subsampling","SRS","frac0.05",3,0.00163507461547852,300,0.0247650146484375,2.48692596560738,0.0944851746890221,1,0.460230180571652,0.866151928133136,0.0661519281331362,1,0.377520749003287,1.58323232275008,0.601816272462625
