"track","method","config_id","error_gain_pct","runtime_gain_pct","cover_gain","ref_method","ref_config"
"Empirical","BLB->One-step","A",0.000976441150157825,-3840.49591489875,0,"One-step","K10"
"Empirical","One-step->SGD","B",-608543025.268833,-518790.492980011,-0.75,"One-step","K10"
"Empirical","Stratified-SGD->Aggregate","C",NA,-233608.290342,NA,"One-step","K10"
"Simulation","BLB->One-step","A",-2.69477310452446,-8812.86586929647,0,"SAE","K5"
"Simulation","One-step->SGD","B",22.2209283196527,-15545.8176803952,0,"SAE","K5"
"Simulation","Stratified-SGD->Aggregate","C",-1434.90163316145,-6151.73994636361,0,"SAE","K5"
