"track","category","method","config_id","runs","mean_runtime_sec","sd_runtime_sec","mean_sample_access","mean_memory_mb","mean_abs_error_mean","mean_abs_error_coef","mean_ci_cover_mean","mean_ci_cover_coef","mean_ci_width_mean","mean_ci_width_coef","mean_mse","mean_r2","stability_mean_sd","stability_coef_sd","stability_mse_sd"
"Empirical","Distributed","One-step","K10",8,0.249800741672516,0.0196190739118941,602500,0.0009765625,0,1.19493304140406e-12,1,1,0.0856707299434589,0.00699340977770468,23.6639317475177,0.917425951689734,0,6.79976676594345e-14,2.32579705080119e-15
"Empirical","Distributed","SAE","K20",8,0.318895280361176,0.0192302791803166,6e+05,0.00128173828125,0,0.000572515594181755,1,1,0.079393302908052,0.0360376438991945,23.6639390538079,0.917425926194818,0,0.000423990839807578,9.45311162192604e-06
"Empirical","Distributed","SAE","K5",8,0.237030982971191,0.0219749232083603,6e+05,0.000823974609375,4.44089209850063e-16,0.000148708269411879,1,1,0.0809354387945884,0.032719098003,23.6639323022513,0.917425949754021,1.3427995533605e-15,0.000183368971340374,9.09082409987803e-07
"Empirical","Hybrid","BLB->One-step","A",8,9.84338802099228,0.513525308205934,13903300,0.00936126708984375,0,1.09728892638827e-12,1,1,0.0856707299434589,0.00699340977770468,23.6639317475177,0.917425951689734,0,5.85998267406212e-14,2.32579705080119e-15
"Empirical","Hybrid","One-step->SGD","B",8,1296.19229993224,174.732078566306,17402500,18.3112106323242,0,0.0608543025280782,1,0.25,0.0856707299434589,0.00702338697404004,23.8677864992272,0.916714611228837,0,0.0765336823262866,0.245594270528855
"Empirical","Hybrid","Stratified-SGD->Aggregate","C",8,583.805042624474,31.2701671181435,2.4e+07,0.00079345703125,0,NA,1,NA,0.0856707299434589,NA,NA,NA,0,NA,NA
"Empirical","Mini-batch","SGD","bs256",8,1227.82812607288,273.751344307839,2.4e+07,18.3112106323242,0,0.122679646016385,1,0,0.0856707299434589,0.00714313448403725,24.7205940351301,0.913738784074653,0,0.234281422031719,1.99219488850337
"Empirical","Mini-batch","SGD","bs64",8,2822.59390455484,139.884030412362,2.4e+07,18.3112106323242,0,0.0929245531324384,1,0,0.0856707299434589,0.00711198436685256,24.4774724411787,0.914587144121429,0,0.116229121182309,0.69296210304386
"Empirical","Subsampling","BLB","g0.7_s10_B120",8,7.89887776970863,0.511780405891103,13300800,0.00936126708984375,0.0330271199018117,0.0171418694151989,1,1,0.880595887385335,0.281331971476582,23.6639317475177,0.917425951689734,0.0363645053341592,0.0191918455120076,0
"Empirical","Subsampling","SRS","frac0.05",8,0.00978389382362366,0.00555046772294272,30000,1.37496948242188,0.0745132916666664,0.0388224172137143,1,0,0.380545587815438,0.0312588314429922,23.6897967987455,0.917335696950479,0.0928342728151891,0.0431652312240912,0.0175495646655783
