"track","category","method","config_id","runs","mean_runtime_sec","sd_runtime_sec","mean_sample_access","mean_memory_mb","mean_abs_error_mean","mean_abs_error_coef","mean_ci_cover_mean","mean_ci_cover_coef","mean_ci_width_mean","mean_ci_width_coef","mean_mse","mean_r2","stability_mean_sd","stability_coef_sd","stability_mse_sd"
"Empirical","Subsampling","Stratified","frac0.10",8,0.0203132629394531,0.012490581635446,60000,2.97791290283203,0.0623156375000016,0.0256840085172357,0.875,0.125,0.270847399140239,0.0221414734637996,23.6803452067643,0.917368677784822,0.0569195295930212,0.0302816930765039,0.0104062581437176
"Simulation","Distributed","One-step","K10",8,0.0513238310813904,0.00311542351592138,42500,0.00171661376953125,0,0.00568635713521051,1,1,0.0372733252017756,0.0256276943184266,1.09042459649679,0.69847566901714,0,4.55829274744901e-16,0
"Simulation","Distributed","SAE","K20",8,0.0809836387634277,0.0519338914837285,40000,0.00240325927734375,0,0.00562531204089724,1,1,0.0374050835698784,0.0292220118479068,1.09042599647857,0.69847528189402,0,0.000757894351820873,7.79761249357905e-07
"Simulation","Distributed","SAE","K5",8,0.060775488615036,0.0521710751657186,40000,0.001373291015625,1.66533453693773e-16,0.00553714367665006,1,1,0.0388164243474444,0.0277115290070079,1.09042498813917,0.698475560720143,2.90724631350149e-16,0.00041756351761409,2.42828309261937e-07
"Simulation","Hybrid","BLB->One-step","A",8,5.41683778166771,0.251350448914487,2040500,0.00936126708984375,0,0.00568635713520731,1,1,0.0372733252017756,0.0256276943184266,1.09042459649679,0.69847566901714,0,2.18043473512611e-16,0
"Simulation","Hybrid","One-step->SGD","B",8,9.50882214307785,0.455623402474032,1162500,2.74760437011719,0,0.00430673894930547,1,1,0.0372733252017756,0.0256327662857768,1.09085627728722,0.698356300596845,0,0.00482621973530761,0.000367214395357239
"Simulation","Hybrid","Stratified-SGD->Aggregate","C",8,3.79952549934387,0.0777192863793222,1600000,0.00130462646484375,0,0.0849897087233976,1,1,0.0372733252017756,2.56122794868398,1.31549546950562,0.636239046122037,0,0.00525386055993828,0.00306940004088994
"Simulation","Mini-batch","SGD","bs256",8,6.96665498614311,0.302968612310227,1600000,2.74760437011719,0,0.00687201452380626,1,1,0.0372733252017756,0.0256289527611266,1.09053169221379,0.698446054897536,0,0.00330468207379969,0.000120927481280387
"Simulation","Mini-batch","SGD","bs64",8,24.9890462756157,1.13648118984269,1600000,2.74760437011719,0,0.00959492797908551,1,0.625,0.0372733252017756,0.0256360602326714,1.09113666179397,0.698278768641781,0,0.0087339666627175,0.000398657469127712
"Simulation","Subsampling","BLB","g0.7_s10_B120",8,3.96903914213181,0.808985160554808,1998000,0.00936126708984375,0.0158431268014444,0.015608659979081,1,1,0.247152106421887,0.177660756454727,1.09042459649679,0.69847566901714,0.0188379867623928,0.0157960779689461,0
"Simulation","Subsampling","SRS","frac0.05",8,0.00159963965415955,0.000257030170467237,2000,0.154464721679688,0.0290765153699821,0.0305722637575645,1,0.875,0.166452484328817,0.11600790953748,1.09595136203024,0.696947407195712,0.0367009671187408,0.0427900111705754,0.00227605150442532
"Simulation","Subsampling","Stratified","frac0.10",8,0.00277578830718994,0.00250209464141919,4000,0.323211669921875,0.0108841239529477,0.0163917231058269,1,1,0.117959479196084,0.0814669629686656,1.09256425328593,0.697884010883279,0.0140689906584421,0.0141672646364451,0.000909431332513861
